link,family,name,full,html,tag,date,compare,specialurl
javaxint,Java,JDK -Xint,Java JDK -Xint,Java <strong>JDK -Xint</strong>,Ubiquitous bytecode interpreter Virtual Machine,11/1/2005,perl,
javaclient,Java,JDK -client,Java JDK -client,Java <strong>JDK -client</strong>,Ubiquitous JIT client Virtual Machine,11/1/2005,java,
scala,Scala,Scala,Scala,<strong>Scala</strong>,Modern type-safe higher-order programming for JVM and CLR,11/2/2005,java,scala
io,Io,Io,Io,<strong>Io</strong>,Small simple prototype based OO programming,11/2/2005,perl,io
rebol,Rebol,Rebol,Rebol,<strong>Rebol</strong>,Metadata scripting for distributed computing,11/12/2005,perl,rebol
swiprolog,Prolog,SWI,Prolog SWI,Prolog&nbsp;<strong>SWI</strong>,Logic language based on a subset of first order logic,11/13/2005,perl,prolog
vw,Smalltalk,VisualWorks,Smalltalk VisualWorks,Smalltalk&nbsp;<strong>VisualWorks</strong>,Pure OO - Smalltalk image,11/27/2005,java,
vb,Basic,MonoBASIC,Basic MonoBASIC,Basic&nbsp;<strong>MonoBASIC</strong>,,12/5/2005,java,basic
parrot,Parrot,PIR,Parrot PIR,Parrot <strong>PIR</strong>,Intermediate code for Parrot Byte code or Parrot ASM,12/19/2005,perl,
petitnasm,Scheme,Petit Larceny,Scheme Petit Larceny,Scheme&nbsp;<strong>Petit&nbsp;Larceny</strong>,Portable research implementation,1/19/2006,java,
ch,C,Ch,C Ch,C&nbsp;<strong>Ch</strong>,IS0 C99 interpreter,2/24/2006,perl,
cint,C,CINT,C CINT,C&nbsp;<strong>CINT</strong>,Seamless C/C++ interpreter/compiler,2/24/2006,perl,
fbasic,BASIC,FreeBASIC,BASIC FreeBASIC,BASIC&nbsp;<strong>FreeBASIC</strong>,widely compatible 32-bit BASIC compiler,2/25/2006,gcc,
rhino,JavaScript,Rhino,JavaScript Rhino,JavaScript&nbsp;<strong>Rhino</strong>,Web-browser to Java VM scripting,2/27/2005,perl,
jscript,JavaScript,JScript,JavaScript JScript,JavaScript&nbsp;<strong>JScript</strong>,Web-browser to .Net scripting,2/28/2005,perl,
iron,Python,IronPython,Python IronPython,Python <strong>IronPython</strong>,.NET libraries easily available to Python programmers,3/3/2006,perl,
occam,Occam,KRoC,Occam KRoC,Occam <strong>KRoC</strong>,Concurrent processes communicating through channels,3/5/2006,gcc,
luajit,Lua,LuaJIT,Lua LuaJIT,Lua <strong>LuaJIT</strong>,"JIT compiler fully compatible with Lua 5.1",3/16/2006,perl,
yarv,Ruby,YARV,Ruby YARV,Ruby <strong>YARV</strong>,Yet Another Ruby Virtual Machine,3/22/2006,perl,
neko,Neko,Neko,Neko,<strong>Neko</strong>,Intermediate language and Virtual Machine,9/29/2006,perl,
bigforth,Forth,bigForth,Forth bigForth,Forth&nbsp;<strong>bigForth</strong>,extensible postfix stack programming,9/29/2006,perl,
gambit,Scheme,Gambit,Scheme Gambit,Scheme&nbsp;<strong>Gambit</strong>,"",11/10/2006,java,
squeak,Smalltalk,Squeak,Smalltalk Squeak,Smalltalk&nbsp;<strong>Squeak</strong>,uniform fully reflective environment - real live objects,11/22/2006,java,
stx,Smalltalk,ST/X,Smalltalk ST/X,Smalltalk&nbsp;<strong>ST/X</strong>,Native object files and (possibly shared) libraries,6/5/2007,java,
